State,ID,NUM,LPR,RPR,LBK,RBK,LBC,RBC,COMMA,SEMICOLON,DOT,ASSIGN,PLUS,MINUS,STAR,SLASH,PERCENT,EQ,NEQ,LT,GT,LTE,GTE,AND,OR,NOT,POINTER_ACC,KW_IF,KW_ELSE,KW_WHILE,KW_RETURN,KW_CLASS,KW_BREAK,KW_CONTINUE,KW_INT,KW_VOID,EOF,Declarator,SimpleDeclarator,DirectDeclarator,TypeSuffix,TypeDeclIdxTail,CompUnit,Decl,ConstDecl,Type,VarDecl,VarDeclTail,VarDef,InitVal,InitValTail,InitValTailTail,FuncDef,FuncFParams,FuncFParamsTail,FuncFParam,Block,BlockItem,BlockItemTail,Stmt,Exp,PrimaryExp,UnaryExp,UnaryOp,FuncRParams,FuncRParamsTail,MulExp,MulOp,AddExp,AddOp,RelExp,RelOp,EqExp,EqOp,LAndExp,LOrExp,ConstExp,ClassDef,ClassBody,ClassMemberList,ClassMember,ConstructorDef
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s1,,,s2,s3,,,,,,,4,5,s6,7,8,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,
1,s11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,r19,,,,,,,,,,,,,,r19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,r20,,,,,,,,,,,,,,r20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s1,,,s2,s3,acc,,,,,,,12,s6,7,8,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r1,,,r1,r1,r1,,,,,,,,r1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r17,,,r17,r17,r17,,,,,,,,r17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,s15,,,,,,,,,,,,,,s16,,,,,,,,,,,,,,,,,,,,,,,17,18,19,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r18,,,r18,r18,r18,,,,,,,,r18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r2,,,r2,r2,r2,,,,,,,,r2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r5,,,r5,r5,r5,,,,,,,,r5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,r21,,,,,,s21,,,,,,,,r21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r3,,,r3,r3,r3,,,,,,,,r3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r4,,,r4,r4,r4,,,,,,,,r4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r6,,,r6,r6,r6,,,,,,,,r6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,r49,,r49,,r49,,r49,r49,,r49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,s15,,,,,,,,,,,,,,s16,,,,,,,,,,,,,,,,,,,,,,,22,18,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,s23,,r25,r25,,s24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,s26,,s27,,r37,,r37,r37,,r37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,,,r35,,r35,r35,,r35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,s30,r24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,s32,,,,,,,r8,,,,,,,,,,,,,,,,,,,,,,,,s33,,,s2,s3,,,,,,,,,,34,35,,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,37,38,39,40
22,,,,,,,r34,,r34,r34,,r34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,s41,s42,s43,,,,s44,r52,,s45,,,s46,s47,s48,,,,,,,,,,,s49,,s50,,s51,s52,s33,s53,s54,s2,s3,,,,,,,,55,s56,57,58,,,,,,,,,,59,60,61,62,63,64,65,66,,,67,,68,,69,,70,,71,72,,,,,,
24,s73,s74,s75,,,,s76,,,,,,s46,s47,s48,,,,,,,,,,,s49,,,,,,,,,,,,,,,,,,,,,,,,77,,,,,,,,,,,78,79,80,81,,,82,,83,,84,,85,,86,87,,,,,,
25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r33,,,r33,r33,r33,,,,,,,,r33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,,,s88,,,,,,,,,,,,,,,,,,,,,,,,,,,,s33,,,s2,s3,,,,,,,,,,89,,,,,,,,90,,91,,,,,,,,,,,,,,,,,,,,,,,,,,
27,s92,s93,s94,,,s95,,,,,,,s46,s47,s48,,,,,,,,,,,s49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,97,98,99,,,100,,101,,102,,103,,104,105,106,,,,,
